_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
50,2025-01-02,503,16:23,Thursday,QUEEN AND CAROLINE,Security,12,22,E,4571,QUEEN AND CAROLINE,
51,2025-01-02,510,16:45,Thursday,SPADINA AND QUEENS QUA,Cleaning - Unsanitary,7,14,N,3239,SPADINA AND QUEENS QUA,
52,2025-01-02,505,16:49,Thursday,BROADVIEW STATION,Emergency Services,10,20,None,4522,BROADVIEW STATION,
53,2025-01-02,505,17:25,Thursday,DUNDAS AND YONGE,Emergency Services,21,10,W,4418,DUNDAS AND YONGE,
54,2025-01-02,505,19:00,Thursday,DUNDAS AND OSSINGTON,Cleaning - Unsanitary,10,20,None,4404,DUNDAS AND OSSINGTON,
55,2025-01-02,501,20:16,Thursday,QUEEN AND BEATY,Security,11,22,W,4449,QUEEN AND BEATY,
56,2025-01-02,510,21:23,Thursday,EXHIBITION LOOP,Emergency Services,7,14,None,3357,EXHIBITION LOOP,
57,2025-01-02,501,21:30,Thursday,QUEEN AND JAMESON,Collision - TTC Involved,33,43,E,4519,QUEEN AND JAMESON,
58,2025-01-02,501,21:32,Thursday,HUMBER LOOP,Diversion,33,43,E,4570,HUMBER LOOP,
59,2025-01-02,510,23:10,Thursday,SPADINA AND DUNDAS,Operations,10,20,N,8333,SPADINA AND DUNDAS,
60,2025-01-02,505,0:13,Thursday,DUNDAS AND JARVIS,Security,66,76,E,4615,DUNDAS AND JARVIS,
61,2025-01-02,505,0:48,Thursday,BROADVIEW STATION,Security,None,None,E,4549,BROADVIEW STATION,
62,2025-01-02,506,0:52,Thursday,RONCESVALLE AND QUEEN,Security,None,None,S,4540,RONCESVALLE AND QUEEN,
63,2025-01-02,504,1:20,Thursday,SUNNYSIDE LOOP,Emergency Services,10,20,W,4428,SUNNYSIDE LOOP,
64,2025-01-02,510,1:57,Thursday,SPADINA AND ADELAIDE,Security,10,40,S,8789,SPADINA AND ADELAIDE,
65,2025-01-02,507,1:59,Thursday,QUEEN AND RONCESVALLES,Security,None,None,W,4598,QUEEN AND RONCESVALLES,
66,2025-01-03,512,3:00,Friday,KINGSTON LOOP,Security,None,None,E,4526,KINGSTON LOOP,
67,2025-01-03,501,3:13,Friday,CHUCH AND KING,Security,15,30,S,4525,CHUCH AND KING,
68,2025-01-03,501,4:19,Friday,HUMBER LOOP,Cleaning - Unsanitary,15,30,E,4551,HUMBER LOOP,
